id,x,y,latitude,longitude,label,tags,url,xywh
point_164,,,28.1167565,129.242746,大嶋之内　かけろま嶋、嶋廻り拾五里,島,"https://maps.app.goo.gl/?q=28.1167565,129.242746",
point_165,,,28.1238333,129.2735556,竹崎,崎,"https://maps.app.goo.gl/?q=28.1238333,129.2735556",
point_166,,,28.1247778,129.2875556,しらき崎,崎,"https://maps.app.goo.gl/?q=28.1247778,129.2875556",
point_167,,,28.1048056,129.3544167,みんせ,干瀬,"https://maps.app.goo.gl/?q=28.1048056,129.3544167",
point_168,,,28.0971667,129.3598611,くせ,干瀬,"https://maps.app.goo.gl/?q=28.0971667,129.3598611",
point_169,,,28.095,129.3482778,かめ瀬,干瀬,"https://maps.app.goo.gl/?q=28.095,129.3482778",
point_170,,,28.0899167,129.3454722,平瀬,干瀬,"https://maps.app.goo.gl/?q=28.0899167,129.3454722",
point_171,,,28.07625,129.3406667,大立神,その他,"https://maps.app.goo.gl/?q=28.07625,129.3406667",
point_172,,,28.0621389,129.3181944,二ツ瀬,干瀬,"https://maps.app.goo.gl/?q=28.0621389,129.3181944",
point_173,,,28.0686111,129.3213611,長浜,その他,"https://maps.app.goo.gl/?q=28.0686111,129.3213611",
point_174,,,28.0857778,129.2903889,かまひせ,干瀬,"https://maps.app.goo.gl/?q=28.0857778,129.2903889",
point_175,,,28.085924,129.21231,すりかふ瀬,干瀬,"https://maps.app.goo.gl/?q=28.085924,129.21231",
point_176,,,28.1606097,129.1848649,立神,その他,"https://maps.app.goo.gl/?q=28.1606097,129.1848649",
point_177,,,28.1191215,129.1670465,すこもはなれ,島,"https://maps.app.goo.gl/?q=28.1191215,129.1670465",
point_178,,,28.120218,129.159308,こは尻,その他,"https://maps.app.goo.gl/?q=28.120218,129.159308",
point_179,,,28.0246255,129.2531353,大嶋之内,島,"https://maps.app.goo.gl/?q=28.0246255,129.2531353",
point_180,,,28.0533351,129.2150045,くしら瀬,干瀬,"https://maps.app.goo.gl/?q=28.0533351,129.2150045",
point_181,,,28.0355165,129.2331926,遠干潟,干瀬,"https://maps.app.goo.gl/?q=28.0355165,129.2331926",
point_182,,,28.0507362,129.2513483,たんせ,干瀬,"https://maps.app.goo.gl/?q=28.0507362,129.2513483",
point_183,,,28.0362135,129.2647782,くしらまの崎,崎,"https://maps.app.goo.gl/?q=28.0362135,129.2647782",
point_184,,,28.0225133,129.275016,かいま,島,"https://maps.app.goo.gl/?q=28.0225133,129.275016",
point_185,,,28.0082893,129.2684225,鳥瀬,干瀬,"https://maps.app.goo.gl/?q=28.0082893,129.2684225",
point_186,,,28.003203,129.255130,ちやなれのくわ,その他,"https://maps.app.goo.gl/?q=28.003203,129.255130",
point_187,,,28.0056969,129.2545089,くらせのはな,その他,"https://maps.app.goo.gl/?q=28.0056969,129.2545089",
point_188,,,28.0142585,129.2371877,たにま,その他,"https://maps.app.goo.gl/?q=28.0142585,129.2371877",
point_189,,,28.0234942,129.2139252,やんま崎,崎,"https://maps.app.goo.gl/?q=28.0234942,129.2139252",
point_190,,,28.0365881,129.1595703,"大嶋之内
よろノ嶋、嶋廻三里廿町",島,"https://maps.app.goo.gl/?q=28.0365881,129.1595703",
point_191,,,28.0298375,129.1590682,このみね,その他,"https://maps.app.goo.gl/?q=28.0298375,129.1590682",
point_192,,,28.0683294,129.171493,大瀬,干瀬,"https://maps.app.goo.gl/?q=28.0683294,129.171493",
point_193,,,28.0584373,129.1759185,立瀬　,干瀬,"https://maps.app.goo.gl/?q=28.0584373,129.1759185",
point_194,,,28.0491515,129.1775864,しよひやの崎,崎,"https://maps.app.goo.gl/?q=28.0491515,129.1775864",
point_195,,,28.0158133,129.1594657,うす瀬,干瀬,"https://maps.app.goo.gl/?q=28.0158133,129.1594657",
point_196,,,28.012937,129.1466962,立神,その他,"https://maps.app.goo.gl/?q=28.012937,129.1466962",
point_197,,,28.0102079,129.1440595,小平瀬,干瀬,"https://maps.app.goo.gl/?q=28.0102079,129.1440595",
point_198,,,28.0267796,129.1433624,一ツ瀬,干瀬,"https://maps.app.goo.gl/?q=28.0267796,129.1433624",
point_199,,,28.042233,129.1494035,ぬり瀬,干瀬,"https://maps.app.goo.gl/?q=28.042233,129.1494035",
point_200,,,28.0490278,129.1494001,かかみ崎,崎,"https://maps.app.goo.gl/?q=28.0490278,129.1494001",
point_201,,,27.7904264,128.9668067,"徳之嶋
高壱万九石七斗
嶋廻十七里三町",島,"https://maps.app.goo.gl/?q=27.7904264,128.9668067",
point_202,,,27.8604602,128.9198304,さきはる,崎,"https://maps.app.goo.gl/?q=27.8604602,128.9198304",
point_203,,,27.8902185,128.9666605,かなみ崎,崎,"https://maps.app.goo.gl/?q=27.8902185,128.9666605",
point_204,,,27.9235958,128.9927973,とのはら,その他,"https://maps.app.goo.gl/?q=27.9235958,128.9927973",
point_205,,,27.872231,128.975076,しよひやの崎,崎,"https://maps.app.goo.gl/?q=27.872231,128.975076",
point_206,,,27.820358,128.9511518,かなま崎,崎,"https://maps.app.goo.gl/?q=27.820358,128.9511518",
point_207,,,27.831927,128.972855,黒はす崎,崎,"https://maps.app.goo.gl/?q=27.831927,128.972855",
point_208,,,27.8043077,128.995961,おつの崎,崎,"https://maps.app.goo.gl/?q=27.8043077,128.995961",
point_209,,,27.7792937,129.0148106,井ノ川,港湾,"https://maps.app.goo.gl/?q=27.7792937,129.0148106",
point_210,,,27.7739086,129.0335373,井ノ川崎,崎,"https://maps.app.goo.gl/?q=27.7739086,129.0335373",
point_211,,,27.7436634,129.0226681,秋徳,港湾,"https://maps.app.goo.gl/?q=27.7436634,129.0226681",
point_212,,,27.7364329,129.0210457,たつ口,その他,"https://maps.app.goo.gl/?q=27.7364329,129.0210457",
point_213,,,27.7184525,129.0188829,かくちな崎,崎,"https://maps.app.goo.gl/?q=27.7184525,129.0188829",
point_214,,,27.6993417,129.0055548,くらひの崎,崎,"https://maps.app.goo.gl/?q=27.6993417,129.0055548",
point_215,,,27.6954404,128.9328828,廉川,川,"https://maps.app.goo.gl/?q=27.6954404,128.9328828",
point_216,,,27.7064959,128.9136478,あこん川,川,"https://maps.app.goo.gl/?q=27.7064959,128.9136478",
point_217,,,27.7232511,128.8815811,犬たぶ崎,崎,"https://maps.app.goo.gl/?q=27.7232511,128.8815811",
point_218,,,27.764527,128.940713,あきり神川,川,"https://maps.app.goo.gl/?q=27.764527,128.940713",
point_219,,,27.787430,128.889808,天摩崎,崎,"https://maps.app.goo.gl/?q=27.787430,128.889808",
point_220,,,27.8110424,128.8956764,へとの川,川,"https://maps.app.goo.gl/?q=27.8110424,128.8956764",
point_221,,,27.8329601,128.8911057,和にや泊,港湾,"https://maps.app.goo.gl/?q=27.8329601,128.8911057",
point_222,,,27.3662187,128.6005328,"永良部嶋
高四千百五拾八石五斗
嶋廻拾里十八町",島,"https://maps.app.goo.gl/?q=27.3662187,128.6005328",
point_223,,,27.411801,128.6700217,きひる浜,その他,"https://maps.app.goo.gl/?q=27.411801,128.6700217",
point_224,,,27.4040423,128.5376787,やぎにや崎,崎,"https://maps.app.goo.gl/?q=27.4040423,128.5376787",
point_225,,,27.4340391,128.7135806,国頭崎,崎,"https://maps.app.goo.gl/?q=27.4340391,128.7135806",
point_226,,,27.4129254,128.6438081,和泊,港湾,"https://maps.app.goo.gl/?q=27.4129254,128.6438081",
point_227,,,27.3402184,128.5506652,おかみ山,山,"https://maps.app.goo.gl/?q=27.3402184,128.5506652",
point_228,,,27.3402184,128.5506652,池,その他,"https://maps.app.goo.gl/?q=27.3402184,128.5506652",
point_229,,,27.042604,128.432407,"与論嶋
高千弐百七拾弐石六斗
嶋廻三里五町",島,"https://maps.app.goo.gl/?q=27.042604,128.432407",
point_230,,,27.0591907,128.4350372,めなさ,その他,"https://maps.app.goo.gl/?q=27.0591907,128.4350372",
point_231,,,27.0443704,128.4546188,地はなれ,その他,"https://maps.app.goo.gl/?q=27.0443704,128.4546188",
point_232,,,27.024395,128.457014,赤崎,崎,"https://maps.app.goo.gl/?q=27.024395,128.457014",
point_233,,,27.049799,128.402182,かね崎,崎,"https://maps.app.goo.gl/?q=27.049799,128.402182",
point_234,,,27.0504243,128.4030181,あがさ泊,港湾,"https://maps.app.goo.gl/?q=27.0504243,128.4030181",
point_235,,,26.2171335,127.7194486,"首里
王城",都市,"https://maps.app.goo.gl/?q=26.2171335,127.7194486",
